citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Li2024,"Towards a Science of Scaling Agent Systems","Li et al.",arXiv,2024,https://arxiv.org/abs/2512.08296,"260 configurations across 6 benchmarks; 5 architectures; 3 LLM families. Identifies capability-saturation effect. Coordination yields diminishing returns once SA baselines exceed certain performance.",accuracy,NR,NR,"6 agentic benchmarks","3 LLM families",other,yes,yes,"Derives quantitative scaling law. Tool-heavy tasks incur multi-agent overhead. Architectures without centralized verification propagate errors more. Challenges assumption that increasing agent count monotonically improves performance."
Zhou2025,"HiddenBench: Assessing Collective Reasoning in Multi-Agent LLMs via Hidden Profile Tasks","Zhou et al.",ICML,2026,https://arxiv.org/abs/2505.11556,"Multi-agent LLMs achieve only 30.1% accuracy under distributed information vs 80.7% for single agents with complete information.",accuracy,30.1,80.7,HiddenBench (65 tasks),"15 frontier LLMs",cooperation,yes,no,"Agents cannot recognize latent information asymmetry. Premature convergence on shared evidence. Failures persist across prompting strategies and worsen as groups scale."
Xie2026,"From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration","Xie; Zhu; Zhang; Zhu; Ye; Qi; Chen; Zhou",arXiv,2026,https://arxiv.org/abs/2603.04474,"Error propagation dynamics model for LLM-MAS. Identifies three vulnerability classes: cascade amplification; topological sensitivity; consensus inertia.",defense-success-rate,0.32,NR,"6 mainstream MAS frameworks",multiple,cooperation,yes,unclear,"Minor inaccuracies solidify into system-level false consensus through iteration. Errors propagate and amplify through message dependencies. Proposes genealogy-graph governance raising defense from 0.32 to 0.89."
Eo2025,"Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning","Eo; Moon; Zi; Park; Lim",arXiv,2025,https://arxiv.org/abs/2504.05047,"Shows unnecessary debate increases risk of erroneous responses. Proposes DOWN framework that selectively activates debate based on confidence.",accuracy,NR,NR,multiple reasoning benchmarks,multiple,debate,yes,no,"Engaging in unnecessary debates increases error risk. DOWN improves efficiency by 6x while matching or outperforming existing MAD methods. Validates that debate is often counterproductive."
Choi2025b,"When Identity Skews Debate: Anonymization for Bias-Reduced Multi-Agent Reasoning","Choi; Zhu; Li",arXiv,2025,https://arxiv.org/abs/2510.07517,"Identity-driven sycophancy and self-bias undermine MAD reliability. Formalizes debate dynamics as identity-weighted Bayesian update. Proposes anonymization as mitigation.",Identity-Bias-Coefficient,NR,NR,multiple,multiple,debate,yes,unclear,"Agents prone to identity-driven sycophancy (uncritically adopting peer views) and self-bias (stubbornly adhering to own output). Anonymization removes identity markers to force equal weighting."
Smit2024,"Should we be going MAD? A Look at Multi-Agent Debate Strategies for LLMs","Smit; Duckworth; Grinsztajn; Barrett; Pretorius",arXiv,2024,https://arxiv.org/abs/2311.17371,"Benchmarks range of MAD strategies. MAD does not reliably outperform self-consistency and ensembling. MAD is more sensitive to hyperparameters and harder to optimize.",accuracy,NR,NR,"TruthfulQA and others","ChatGPT; LLaMA-2",debate,yes,no,"MAD systems do not reliably outperform other prompting strategies. MAD is more sensitive to hyperparameter settings and difficult to optimize compared to simpler baselines."
Zhu2025,"Conformity in Large Language Models","Zhu; Zhang; Stafford; Collier; Vlachos",ACL,2025,https://arxiv.org/abs/2410.12428,"All tested LLMs exhibit conformity toward majority regardless of correctness. Models more likely to conform when uncertain. Instruction-tuned models less susceptible.",conformity-rate,NR,NR,"multiple knowledge domains",multiple,debate,yes,unclear,"First to show LLMs conform more when uncertain. In multi-agent debate this creates echo chambers where agents converge on incorrect answers with high apparent confidence."
Zhu2026,"Demystifying Multi-Agent Debate: The Role of Confidence and Diversity","Zhu; Zhang; Chi; Stafford; Collier; Vlachos",arXiv,2026,https://arxiv.org/abs/2601.19921,"Vanilla MAD often underperforms simple majority vote despite higher computational cost. Identifies two missing mechanisms: diversity of viewpoints and calibrated confidence.",accuracy,NR,NR,"6 reasoning QA benchmarks",multiple,debate,yes,no,"Vanilla MAD underperforms majority vote. Proposes diversity-aware initialization and confidence-modulated debate to fix. Demonstrates current MAD wastes compute."
Zhu2025b,"Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness","Zhu et al.",arXiv,2025,https://arxiv.org/abs/2505.22960,"MAD offers only limited advantages over self-agent scaling for solution-finding tasks even with diverse agents. Effectiveness increases slightly with difficulty.",accuracy,NR,NR,mathematical reasoning; safety tasks,multiple,debate,yes,yes,"For solution-finding tasks MAD provides limited advantage over single-agent test-time scaling. Only safety/judging tasks show consistent MAD benefit with diverse agents."
Li2025,"AgentAsk: Multi-Agent Systems Need to Ask","Li et al.",arXiv,2025,https://arxiv.org/abs/2510.07593,"Identifies four dominant error types at inter-agent handoffs: Data Gap; Signal Corruption; Referential Drift; Capability Gap. MA systems fail to outperform strong SA baselines due to error propagation.",accuracy,NR,NR,multiple,multiple,other,yes,unclear,"Error propagation at inter-agent message handoffs prevents MA from outperforming SA baselines. Proposes lightweight clarification module (AgentAsk) as architecture-agnostic fix."
Ao2026,"On the Reliability Limits of LLM-Based Multi-Agent Planning","Ao; Gao; Simchi-Levi",arXiv,2026,https://arxiv.org/abs/2603.26993,"Decision-theoretic proof that any delegated multi-agent network is dominated by a centralized Bayes decision maker with the same information. Communication introduces information loss.",Bayes-optimality-gap,NR,NR,theoretical,theoretical,hierarchy,yes,yes,"Formal proof that without new exogenous signals multi-agent networks are suboptimal vs centralized decision making. Communication compression causes information loss quantified via posterior divergence."
Zhou2025b,"GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling","Zhou et al.",NeurIPS,2025,https://arxiv.org/abs/2505.19234,"Models hallucination amplification and error injection/propagation in multi-agent collaborations. Proposes temporal graph-based detection.",detection-accuracy,NR,NR,"multi-agent collaboration scenarios",multiple,cooperation,yes,unclear,"Documents three safety failure modes: hallucination amplification across agents; agent-targeted error injection and propagation; communication-targeted error injection. Errors persist through subsequent rounds."
Shin2026,"The Reasoning Trap: An Information-Theoretic Bound on Closed-System Multi-Step LLM Reasoning","Shin",arXiv,2026,https://arxiv.org/abs/2605.01704,"MAD with copies of same model produces diverse phrasings not diverse perspectives. Closed-system reasoning preserves answers while degrading evidential grounding.",Supported-Faithfulness-Score,NR,NR,multiple,multiple,debate,yes,yes,"Formal DPI-based argument: homogeneous MAD cannot create new information. Debate preserves answer accuracy while losing evidence-grounding. Triple failure of human reliability also documented."
Maryanskyy2026,"When Agents Disagree: The Selection Bottleneck in Multi-Agent LLM Pipelines","Maryanskyy",arXiv,2026,https://arxiv.org/abs/2603.20324,"Identifies selection bottleneck in MoA pipelines. Diversity can hurt under synthesis-based aggregation. Selection dramatically outperforms synthesis.",accuracy,NR,NR,multiple,multiple,moa,yes,unclear,"Heterogeneous MoA teams outperform single models but homogeneous Self-MoA wins under synthesis aggregation. Closed-form crossover threshold separates where diversity helps vs hurts."
Zhu2025c,"MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks","Zhu et al.",arXiv,2025,https://arxiv.org/abs/2505.12371,"Multi-agent does not consistently outperform single LLMs (e.g. textual medical QA) or specialized conventional methods (medical VQA; EHR prediction).",accuracy,NR,NR,"medical QA; VQA; EHR prediction; clinical workflow",multiple,cooperation,yes,no,"Multi-agent collaboration benefits only specific scenarios (clinical workflow automation). Single LLMs and conventional methods often perform comparably or better in medical tasks."
SiloBench2026,"Silo-Bench: A Scalable Environment for Evaluating Distributed Coordination in Multi-Agent LLM Systems","Jiang et al.",arXiv,2026,https://arxiv.org/abs/2603.01045,"30 algorithmic tasks; 54 configurations; 1620 experiments. Agents form coordination topologies but systematically fail to synthesize distributed state into correct answers.",accuracy,NR,NR,"30 algorithmic tasks",multiple,cooperation,yes,unclear,"Communication-Reasoning Gap: agents coordinate well but fail to integrate distributed information into correct answers. Coordination overhead compounds with scale eliminating parallelization gains."
AgentArk2026,"AgentArk: Distilling Multi-Agent Intelligence into a Single LLM Agent","Chen et al.",arXiv,2026,https://arxiv.org/abs/2602.03955,"Distills multi-agent dynamics into single model weights. Motivated by high computational cost and error propagation in MA systems.",accuracy,NR,NR,reasoning benchmarks,multiple,other,yes,no,"Shows multi-agent debate has high computational cost and error propagation problems. Single distilled model preserves efficiency while matching multi-agent reasoning and self-correction performance."
