citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Benkovich2026,Agyn: A Multi-Agent System for Team-Based Autonomous Software Engineering,"Nikita Benkovich, Dmitrii Khizbullin",arXiv,2026,https://arxiv.org/abs/2602.01465,Multi-agent team (manager/researcher/engineer/reviewer) modeling real engineering org structure,resolve-rate,72.2,65.0,SWE-bench 500,GPT-5,role-play,yes,yes,"SA baseline ~65% (single GPT-5 agent). 7.2% absolute improvement. Not tuned for SWE-bench."
Pan2025,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,"Ruwei Pan, Hongyu Zhang, Chao Liu",arXiv,2025,https://arxiv.org/abs/2501.07811,Four-agent framework (prompt/code/test/repair) with self-reflection and quality pruning,pass@1,77.8,NR,HumanEval (avg),GPT-3.5-turbo,verifier-critic,yes,no,"Avg across HumanEval/HumanEval-ET/MBPP/MBPP-ET. Outperforms MapCoder (72.8% avg). SA baseline is direct prompting."
Ishibashi2024,Self-Organized Agents: A LLM Multi-Agent Framework toward Ultra Large-Scale Code Generation and Optimization,"Yoichi Ishibashi, Yoshimasa Nishimura",arXiv,2024,https://arxiv.org/abs/2404.02183,Dynamic multi-agent framework with automatic agent multiplication based on problem complexity,pass@1,+5% rel.,NR,HumanEval,GPT-4,cooperation,yes,yes,"5% improvement over Reflexion (strong SA baseline). Scales agent count with problem complexity."
Li2025,CodeTree: Agent-guided Tree Search for Code Generation with Large Language Models,"Jierui Li, Hung Le, Zhangming Chan, Yizhi LI",NAACL,2025,https://aclanthology.org/2025.naacl-long.189/,Multi-agent tree search with Thinker/Solver/Debugger/Critic agents for unified code generation,pass@1,95.1,NR,HumanEval,GPT-4o,planner-executor,yes,yes,"Also MBPP 98.7%, CodeContests 43.0%, SWE-bench 31.9%. Critic guides tree search."
Dong2024,Self-collaboration Code Generation via ChatGPT,"Yihong Dong, Xue Jiang, Zhi Jin, Ge Li",TOSEM,2024,https://arxiv.org/abs/2304.07590,Multi-role self-collaboration framework where one LLM plays analyst/coder/tester roles,pass@1,+47.1% rel.,NR,CoderEval,ChatGPT,role-play,yes,yes,"47.1% relative improvement on CoderEval. 29.9-34.6% on HumanEval-ET/MBPP-ET. SA=direct ChatGPT."
Islam2025,CodeSIM: Multi-Agent Code Generation and Problem Solving through Simulation-Driven Planning and Debugging,"Md. Ashraful Islam, Raian Rahman, Mohammed Eunus Ali, Md Rizwan Parvez",NAACL Findings,2025,https://aclanthology.org/2025.findings-naacl.285/,Simulation-driven multi-agent with planning verification before coding and trace-based debugging,pass@1,95.1,NR,HumanEval,GPT-4o,planner-executor,yes,no,"Also MBPP 90.7%, CodeContests 29.1%. Outperforms MapCoder (79.0% avg) by 3.7% absolute."
Xie2025,DebateCoder: Adaptive Confidence Gating in Multi-Agent Collaboration for Efficient Code Generation,"Yu Xie, et al.",arXiv,2026,https://arxiv.org/abs/2601.21469,Three-agent debate (User/Technical/QA) with adaptive confidence gating for small LMs,pass@1,70.12,28.46,HumanEval,Pangu-1B,verifier-critic,yes,no,"SA baseline is Pangu-1B direct (28.46%). MBPP: 63.22% MA vs 28.46% SA. Targets SLMs."
Chen2025,InfCode: Adversarial Iterative Refinement of Tests and Patches for Reliable Software Issue Resolution,"et al.",arXiv,2025,https://arxiv.org/abs/2511.16004,Adversarial multi-agent with test-generator/code-patcher/selector for iterative co-refinement,resolve-rate,79.4,NR,SWE-bench Verified,Claude-3.5-Sonnet,verifier-critic,no,unclear,"SOTA on SWE-bench Verified (Nov 2025). Surpasses TRAE (78.8%) and Rovo Dev (76.8%). Open-source."
Doki2024,RGD: Multi-LLM Based Agent Debugger via Refinement and Generation Guidance,"Doki Hollin, et al.",arXiv,2024,https://arxiv.org/abs/2410.01242,Three-agent (Guide/Debug/Feedback) debugger with memory pool for generation guidance,pass@1,98.17,88.4,HumanEval,GPT-4,cooperation,yes,no,"9.8% improvement on HumanEval and 16.2% on MBPP over SOTA. Uses memory pool of successful guides."
Yang2025,SWE-Debate: Competitive Multi-Agent Debate for Software Issue Resolution,"Yang, et al.",ICSE,2026,https://arxiv.org/abs/2507.23348,Competitive multi-agent debate with fault-propagation traces and MCTS-based patch generation,resolve-rate,NR,NR,SWE-bench,GPT-4o,verifier-critic,yes,unclear,"SOTA among open-source agents. Three-round debate among specialized agents. Accepted at ICSE 2026."
Lee2025,Blueprint2Code: A Multi-Agent Pipeline for Reliable Code Generation via Blueprint Planning and Repair,"Lee, et al.",Frontiers in AI,2025,https://doi.org/10.3389/frai.2025.1660912,Four-agent pipeline (Preview/Blueprint/Coding/Debugging) with blueprint planning,pass@1,96.3,NR,HumanEval,GPT-4o,planner-executor,yes,no,"Also MBPP 88.4%. Emulates human programming workflow with detailed blueprint planning step."
Liu2025,Lessons Learned: A Multi-Agent Framework for Code LLMs to Learn and Improve,"Yuanzhe Liu, Ryan Deng, Tim Kaler, et al.",NeurIPS,2025,https://arxiv.org/abs/2505.23946,Lesson-sharing multi-agent framework where agents learn from each others successes/failures,pass@1,NR,NR,HumanEval,mixed,cooperation,yes,yes,"Team of small LLMs outperforms larger single LLM. NeurIPS 2025. Lesson solicitation-banking-selection."
Pramanik2025,AdaCoder: An Adaptive Planning and Multi-Agent Framework for Function-Level Code Generation,"et al.",IEEE,2025,https://arxiv.org/abs/2504.04220,Adaptive two-phase framework with rule-based debugging and LLM-based planning agents,pass@1,+27.69% avg,NR,HumanEval/MBPP,mixed (6 LLMs),planner-executor,yes,yes,"27.69% higher Pass@1 than MapCoder on avg. 16x faster inference, 12x less tokens."
Ashrafi2025,Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging,"Nazmus Ashrafi, Salah Bouktif, Mohammed Mediani",arXiv,2025,https://arxiv.org/abs/2505.02133,Systematic evaluation of multi-agent collaboration + runtime debugging across 19 LLMs,pass@1,NR,NR,HumanEval/HumanEval+,mixed (19 LLMs),cooperation,yes,yes,"Evaluates 6 approaches (Basic/AC/ACT/Debug/AC+Debug/ACT+Debug). ACT+Debug best overall."
Chen2026,TraceCoder: A Trace-Driven Multi-Agent Framework for Automated Debugging of LLM-Generated Code,"et al.",ICSE,2026,https://arxiv.org/abs/2602.06875,Modular multi-agent debugging framework with runtime trace analysis and historical lesson learning,pass@1,82.0,61.0,ClassEval,Gemini-2.5-Flash,cooperation,yes,yes,"34.43% relative improvement over best baseline. Also evaluated on BigCodeBench and HumanEval+."
