citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Bao2025,"Expertise-aware Multi-LLM Recruitment and Collaboration for Medical Decision-Making","Bao, Peng, et al.",arXiv,2025,https://arxiv.org/abs/2508.13754,Two-stage framework: expertise-aware recruitment then confidence/adversarial-driven collaboration.,accuracy,74.45,71.76,MMLU-Pro-Health,GPT-4-0613,cooperation,yes,no,2.69pp over best closed-source model; evaluated on 3 public MDM datasets
MixedVendor2026,Do Mixed-Vendor Multi-Agent LLMs Improve Clinical Diagnosis?,"Authors not specified",HeaLing Workshop (ACL),2026,https://arxiv.org/abs/2603.04421,Compares single-LLM / single-vendor / mixed-vendor MAC with o4-mini + Gemini-2.5-Pro + Claude-4.5-Sonnet.,recall,49.09,NR,RareBench (top-5),Mixed (o4-mini/Gemini/Claude),cooperation,yes,no,Mixed-vendor pools complementary inductive biases; state-of-the-art on RareBench and DiagnosisArena
ClinicalAgents2026,ClinicalAgents: Multi-Agent Orchestration for Clinical Decision Making with Dual-Memory,"Authors not specified",arXiv,2026,https://arxiv.org/abs/2603.26182,Multi-agent with MCTS-based orchestrator and dual-memory (working + experience) for clinical diagnosis.,accuracy,NR,NR,Clinical diagnosis benchmarks,NR,hierarchy,yes,unclear,State-of-the-art on diagnostic accuracy and explainability vs single-agent and multi-agent baselines
Ferber2025,Development and Validation of an Autonomous AI Agent for Clinical Decision-Making in Oncology,"Ferber, et al.",Nature Cancer,2025,https://www.nature.com/articles/s43018-025-00991-6,Autonomous AI agent with multimodal precision oncology tools for personalized decision-making on 20 GI-oncology cases.,completeness,87.2,30.3,GI oncology (20 cases),GPT-4,hierarchy,yes,no,Tool use accuracy 87.5%; correct clinical conclusions 91.0%; guideline citation 75.5%
You2026,Improving Clinical Diagnosis with Counterfactual Multi-Agent Reasoning,"You, et al.",arXiv,2026,https://arxiv.org/abs/2603.27820,Counterfactual probability gap method guides multi-round specialist discussions to challenge unsupported hypotheses.,accuracy,NR,NR,3 diagnostic benchmarks,7 LLMs tested,debate,yes,unclear,Consistently improves over prompting and prior multi-agent baselines; largest gains in complex/ambiguous cases
RareAgents2024,RareAgents: Autonomous Multi-disciplinary Team for Rare Disease Diagnosis and Treatment,"Chen, Jin, et al.",AAAI,2025,https://arxiv.org/abs/2412.12475,First multi-disciplinary LLM agent team for rare diseases with dynamic memory and medical tools.,accuracy,NR,NR,Rare disease diagnosis,LLaMA-3.1-70B,role-play,yes,no,Surpasses GPT-4o and existing agent frameworks in differential diagnosis and medication recommendation
Ghafarollahi2025,SciAgents: Automating Scientific Discovery Through Bioinspired Multi-Agent Intelligent Graph Reasoning,"Ghafarollahi, Buehler",Advanced Materials,2025,https://arxiv.org/abs/2409.05556,Multi-agent system with ontological knowledge graphs for automated scientific discovery in bioinspired materials.,qualitative,NR,NR,Bioinspired materials discovery,GPT-4 + others,cooperation,no,no,Reveals hidden interdisciplinary relationships; scale/precision surpasses human-driven research
SciAgent2025,SciAgent: A Unified Multi-Agent System for Generalistic Scientific Reasoning,"Authors not specified",arXiv,2025,https://arxiv.org/abs/2511.08151,Hierarchical multi-agent system achieving gold-medal-level on math/physics/chemistry olympiads.,score,25.0,NR,IPhO 2025 (theoretical),NR,hierarchy,no,no,Gold medal on IMO 2025 (36/42); IMC 2025 (100/100); IPhO 2024 (27.6/30); CPhO 2025 (264/320)
DrugAgent2024,DrugAgent: Automating AI-aided Drug Discovery Programming through LLM Multi-Agent Collaboration,"Lee, et al.",AAAI Workshop,2025,https://arxiv.org/abs/2411.15692,Multi-agent framework with LLM Planner + LLM Instructor for automating drug discovery ML programming.,ROC-AUC,NR,NR,DTI / PAMPA,GPT-4,cooperation,yes,unclear,4.92% relative improvement in ROC-AUC over ReAct; F1=0.920 on PAMPA absorption prediction
MoMA2025,MoMA: A Mixture-of-Multimodal-Agents Architecture for Enhancing Clinical Prediction Modelling,"Authors not specified",npj Digital Medicine,2025,https://arxiv.org/abs/2508.05492,Mixture-of-multimodal-agents with specialist/aggregator/predictor agents for clinical prediction from EHR data.,AUROC,NR,NR,Clinical prediction (UW Health),GPT-4,moa,yes,no,Outperforms SOTA across all tasks; superior in every sex and race subgroup
MedCollab2026,MedCollab: Causal-Driven Multi-Agent Collaboration for Full-Cycle Clinical Diagnosis via IBIS-Structured Argumentation,"Authors not specified",arXiv,2026,https://arxiv.org/abs/2603.01131,Hierarchical consultation workflow with dynamic specialist recruitment and IBIS argumentation for clinical diagnosis.,RaTEScore,62.0,NR,ClinicalBench,NR,hierarchy,yes,unclear,Significantly outperforms pure LLMs and medical multi-agent systems; reduces medical hallucinations
Neuro2025,A Multi-Agent Approach to Neurological Clinical Reasoning,"Authors not specified",PLOS Digital Health,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12677565/,Multi-agent system evaluated on 305 Israeli Board Certification Exam questions in Neurology.,accuracy,NR,90.9,Israeli Neurology Board Exam,OpenAI-o1,cooperation,yes,unclear,OpenAI-o1 achieved 90.9% base; specialized models much lower (52.9% Meditron-70B); RAG and multi-agent also tested
Topologies2026,Evaluating Multi-Agent LLM Architectures for Rare Disease Diagnosis,"Authors not specified",arXiv,2026,https://arxiv.org/abs/2603.06856,Evaluates 4 topologies (Control/Hierarchical/Adversarial/Collaborative) on 302 rare disease cases across 33 categories.,accuracy,50.0,48.5,Rare disease (302 cases),NR,hierarchy,yes,yes,Adversarial degraded to 27.3%; hierarchical marginally best at 50.0%; collaborative 49.8%
