citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Dong2024,Self-Collaboration Code Generation via ChatGPT,"Yihong Dong, Xue Jiang, Zhi Jin, Ge Li",TOSEM 2024,2024,https://arxiv.org/abs/2304.07590,Three-role team (analyst/coder/tester) for code generation via self-collaboration of single LLM,Pass@1 relative improvement (%),47.1,baseline,HumanEval,GPT-3.5-Turbo (ChatGPT),role-play,yes,no,29.9-47.1% relative improvement; coder-tester team achieves 36.7% and 39.4% improvements on MBPP and MBPP-ET
Pramanik2024,MapCoder: Multi-Agent Code Generation for Competitive Problem Solving,"Md. Ashraful Islam, Mohammed Latif Siddiq, Joanna C.S. Santos",ACL 2024,2024,https://arxiv.org/abs/2405.11403,Four-agent framework emulating program synthesis cycle: recall/plan/generate/debug,Pass@1 (%),93.9,NR,HumanEval,GPT-4,cooperation,no,unclear,Also 83.1% on MBPP; 22.0% on APPS; 28.5% on CodeContests; SOTA across 7 benchmarks
Huang2024,AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation,"Dong Huang, Jie M. Zhang, Michael Luck, Qingwen Bu, Yuhao Qing, Heming Cui",arXiv preprint,2024,https://arxiv.org/abs/2312.13010,Three specialized agents (programmer/test designer/test executor) with iterative testing and optimization,Pass@1 (%),96.3,90.2,HumanEval,GPT-4,cooperation,yes,no,91.8% on MBPP vs 78.9% SOTA; average 91.5% with GPT-4 and 84.1% with GPT-3.5 across datasets
Chen2024b,"ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs","Justin Chen, Swarnadeep Saha, Mohit Bansal",ACL 2024,2024,https://arxiv.org/abs/2309.13007,Multi-model round-table conference with confidence-weighted voting for consensus reasoning,accuracy improvement (%),11.4,baseline,7 reasoning benchmarks,ChatGPT / Bard / Claude,cooperation,yes,no,Surpasses GPT-4 on 3 datasets; 8% improvement on MATH; heterogeneous model team
Sun2024,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,"Qiushi Sun, Zhangyue Yin, Xiang Li, Zhiyong Wu, Xipeng Qiu, Lingpeng Kong",COLM 2024,2024,https://arxiv.org/abs/2310.00280,Suite of multi-model collaboration strategies: Discuss/Review/Retrieve modes for complex reasoning,accuracy,NR,NR,BBH / MATH,GPT-4 / GPT-3.5,cooperation,yes,unclear,Three collaboration paradigms that transform LLMs into autonomous agents; outperforms single-agent baselines
Xue2025,Beyond the Strongest LLM: Multi-Turn Multi-Agent Orchestration vs. Single LLMs on Benchmarks,Xue et al.,arXiv preprint,2025,https://arxiv.org/abs/2509.23537,Multi-turn voting/debate orchestration among frontier LLMs compared to individual model performance,accuracy (%),87.4,85.9,GPQA-Diamond,Gemini 2.5 Pro / GPT-5 / Grok 4 / Claude Sonnet 4,cooperation,yes,no,Best single model (Grok 4) achieves 90.6% but orchestration matches or exceeds on average across 3 benchmarks
Zhang2025b,"Stop Overvaluing Multi-Agent Debate -- We Must Rethink Evaluation and Embrace Model Heterogeneity",Zhang et al.,arXiv preprint,2025,https://arxiv.org/abs/2502.08788,Systematic evaluation of 5 MAD methods across 9 benchmarks with 4 models; finds MAD often fails to beat CoT/SC,accuracy,NR,NR,9 reasoning benchmarks,GPT-4 / GPT-3.5 / Llama / Mistral,cooperation,yes,yes,MAD often fails to outperform simple CoT and Self-Consistency baselines; model heterogeneity is key improvement
Wang2025,Talk Structurally Act Hierarchically: A Collaborative Framework for LLM Multi-Agent Systems,"Shubham Patel, Qingyun Wang, others",arXiv preprint,2025,https://arxiv.org/abs/2502.11098,Structured communication protocol with hierarchical refinement system for multi-agent task solving,accuracy,NR,NR,MMLU / WikiQA,GPT-4o,hierarchy,yes,no,Surpasses OpenAI-o1 and AgentVerse and single-agent ReAct baselines; both structured communication and hierarchical refinement are essential
Antoniades2025,SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,"Antonis Antoniades, Albert Örwall, Kexun Zhang, Yuxi Xie, Anirudh Goyal, William Wang",ICLR 2025,2025,https://arxiv.org/abs/2410.20285,Multi-agent MCTS framework with SWE-Agent / Value Agent / Discriminator Agent for software engineering,relative improvement (%),23.0,baseline,SWE-bench,Claude 3.5 Sonnet / GPT-4o / others,hierarchy,yes,no,23% relative improvement over standard open-source agents across 5 models; multi-agent debate for decision-making
Abdelnabi2025,How to Train a Leader: Hierarchical Reasoning in Multi-Agent LLMs,Abdelnabi et al.,arXiv preprint,2025,https://arxiv.org/abs/2507.08960,MLPO trains a leader LLM to coordinate untrained peer agents; outperforms debate and self-reflection baselines,accuracy,NR,NR,BBH / MATH / MMLU,Qwen2.5-7B / Llama-3.1-8B / Gemma2-9B,hierarchy,yes,yes,Leader trained with MLPO also improves in single-agent settings; outperforms MAD and Self-Reflection under fixed 40-generation budget
Yang2025,MAR: Multi-Agent Reflexion Improves Reasoning Abilities in LLMs,Yang et al.,arXiv preprint,2025,https://arxiv.org/abs/2512.20845,Multi-agent reflexion with actor + 4 critic personas + judge for structured diverse feedback,Pass@1 / EM,82.6,76.4,HumanEval,GPT-3.5-Turbo,cooperation,yes,unclear,Also +3 EM on HotPotQA (44->47); separates acting/diagnosing/critiquing/aggregating to reduce confirmation bias
Liao2026,M3MAD-Bench: Are Multi-Agent Debates Really Effective Across Domains and Modalities?,Liao et al.,arXiv preprint,2026,https://arxiv.org/abs/2601.02854,Unified benchmark for MAD across 5 task domains with text and vision-language datasets and efficiency metrics,accuracy / token cost,NR,NR,Knowledge / Math / Medicine / NatSci / Reasoning,9 base models,cooperation,yes,yes,Systematic cross-modality comparison; reveals performance-cost trade-offs; standardizes MAD evaluation protocols
Li2025,DReaMAD: From Belief Entrenchment to Robust Reasoning in LLM Agents,Li et al.,arXiv preprint,2025,https://arxiv.org/abs/2503.16814,Addresses belief entrenchment in MAD via strategic prior knowledge elicitation and perspective diversity,accuracy gain (%),9.5,baseline,MetaNIM Arena,GPT-4 / GPT-3.5,cooperation,yes,unclear,+19.0% higher win rate than standard MAD; addresses root causes of homogenized debate dynamics
Zhao2024,BattleAgentBench: Evaluating Cooperation and Competition Capabilities of Language Models in Multi-Agent Systems,Zhao et al.,arXiv preprint,2024,https://arxiv.org/abs/2408.15971,Seven sub-stages at three difficulty levels evaluating single-agent navigation / paired-agent execution / multi-agent cooperation,task completion,NR,NR,7 sub-stage tasks,GPT-4 / Claude / Llama / Mistral,cooperation,yes,unclear,API-based models show some cooperative ability but large room for improvement; open-source models struggle on simple tasks
