citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Cui2025,"Free-MAD: Consensus-Free Multi-Agent Debate","Yu Cui, Hang Fu, Haibin Zhang, Licheng Wang, Cong Zuo",arXiv,2025,https://arxiv.org/abs/2509.11035,Single-round anti-conformity debate; avg +13-16.5% over baselines across 8 benchmarks with reduced token cost.,accuracy,64.43,55.73,8 benchmarks (GSM-Ranges / AIME / MATH500 / StrategyQA),Qwen1.5-7B / DeepSeek-V3,debate,yes,yes,Eliminates consensus seeking. Trajectory-aware scoring. Robust to communication attacks.
Wang2025,"MARS: Toward More Efficient Multi-Agent Collaboration for LLM Reasoning","Xiao Wang, Jia Wang, Yijie Wang, Pengtao Dang, Sha Cao, Chi Zhang",arXiv,2025,https://arxiv.org/abs/2509.20502,Review-based collaboration matches MAD accuracy with 50% less tokens/time. GPQA: 48.33 vs 43.33 CoT.,accuracy,48.33,43.33,GPQA,GPT-4o-mini,debate,yes,yes,"Also: MMLU 85.67 vs 81.67; GSM8K 98.0 vs 96.0 (GPT-4o-mini). Hierarchical reviewer design."
Tian2026,"Multi-Agent Debate with Memory Masking (MAD-M2)","Hongduan Tian, Xiao Feng, Ziyuan Zhao, Xiangyu Zhu, Rolan Yan, Bo Han",ICLR 2026,2026,https://arxiv.org/abs/2603.20215,Masks erroneous memories between debate rounds; fixes MAD regression on strong models. MATH: 80.2 vs 77.8 CoT.,accuracy,80.2,77.8,MATH,Qwen2.5-Math-7B-Instruct,debate,yes,unclear,"Standard MAD regresses to 71.2 on MATH with this model. MAD-M2 recovers. GSM8K: 91.8 MAD vs 64.8 CoT (Qwen2.5-7B)."
Eo2025,"Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning (DOWN)","Sugyeong Eo, Hyeonseok Moon, Evelyn Hayoon Zi, Chanjun Park, Heuiseok Lim",arXiv,2025,https://arxiv.org/abs/2504.05047,Confidence-triggered selective debate; up to 6x efficiency with preserved or improved accuracy over full debate.,accuracy,82.0,NR,MUSR / StrategyQA,GPT-4o-mini / Qwen-2.5-72B,debate,yes,yes,Reduces error propagation from unnecessary debate. ~1.5 avg calls vs 3-9 for full MAD.
Tran2026,"Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets","Dat Tran, Douwe Kiela",arXiv,2026,https://arxiv.org/abs/2604.02460,Under equal token budgets single agents match or beat multi-agent on multi-hop reasoning.,accuracy,0.225,0.252,FRAMES,Qwen3-30B,debate,yes,yes,Key compute-parity study. At 1000 tokens SA beats MA across all models. Information-theoretic argument.
Li2026,"M3MAD-Bench: Are Multi-Agent Debates Really Effective Across Domains and Modalities?","Ao Li, Jinghui Zhang, Luyu Li, and others",arXiv,2026,https://arxiv.org/abs/2601.02854,Unified benchmark across 5 domains and 13 datasets; LLM Debate 67.0 vs SC 66.0 and IO 65.3 (Qwen2.5-14B).,accuracy,67.0,65.3,13 datasets (Knowledge / Math / Medicine / Science / Reasoning),Qwen2.5-14B / LLaMA3.1-8B,debate,yes,yes,Some MAD methods underperform baselines. Adversarial paradigms (Div-MAD) frequently worse.
Oh2025,"From Belief Entrenchment to Robust Reasoning in LLM Agents (DReaMAD)","Jihwan Oh, Minchan Jeong, Jongwoo Ko, Se-Young Yun",TACL,2025,https://arxiv.org/abs/2503.16814,Addresses belief entrenchment in MAD via prior knowledge elicitation and perspective diversity; +9.5% over ReAct.,accuracy,NR,NR,MetaNIM Arena,NR,debate,yes,unclear,+19.0% win rate over standard MAD. Novel benchmark. Fixes homogenized debate dynamics.
Hu2025,"Multi-Agent Debate for LLM Judges with Adaptive Stability Detection","Tianyu Hu, Zhen Tan, Song Wang, Huaizhi Qu, Tianlong Chen",NeurIPS 2025,2025,https://arxiv.org/abs/2510.12697,Formalizes debate for LLM judges with stability-based early stopping. LLMBar: 81.83 vs 76.68 single.,accuracy,81.83,76.68,LLMBar,Gemini-2.0-Flash,debate,yes,unclear,"Also: TruthfulQA 74.3 vs 69.5; JudgeBench 68.1 vs 63.7. Beta-Binomial mixture for adaptive halting."
Liu2026,"Prepare Reasoning Language Models for Multi-Agent Debate with Self-Debate RL (SDRL)","Chenxi Liu, Yanshuo Chen, Ruibo Chen, Tianyi Xiong, Tong Zheng, Heng Huang",arXiv,2026,https://arxiv.org/abs/2601.22297,RL training for debate participation; Qwen3-4B debate accuracy 57.7% vs 52.9% baseline across MATH/AIME.,accuracy,57.7,52.9,MATH500 / AMC23 / AIME24 / AIME25 (avg),Qwen3-4B-Base,debate,yes,unclear,Also improves single-agent: majority-vote@32 from 56.2 to 60.2. Joint optimization of standalone + debate.
Kaesberg2025,"Voting or Consensus? Decision-Making in Multi-Agent Debate","Lars Benedikt Kaesberg, Jonas Becker, Jan Philip Wahle, Terry Ruas, Bela Gipp",ACL 2025 Findings,2025,https://arxiv.org/abs/2502.19130,Consensus better for knowledge tasks (+2.8%) voting better for reasoning (+13.2%); AAD/CI methods boost further.,accuracy,NR,NR,MMLU / MMLU-Pro / GPQA / SQuAD / StrategyQA / MuSR,LLaMA-3-8B / LLaMA-3-70B,debate,yes,yes,First systematic comparison of voting vs consensus in MAD. Task-dependent effectiveness.
Han2025,"Debate-to-Detect: Reformulating Misinformation Detection as a Real-World Debate with LLMs (D2D)","Chen Han, Wenzhen Zheng, Xijin Tang",arXiv,2025,https://arxiv.org/abs/2505.18596,Five-stage adversarial debate for misinformation; F1 81.97 vs 76.52 standard MAD vs 74.02 CoT.,F1,81.97,74.02,Weibo21 / FakeNewsDataset,GPT-4o,debate,yes,no,Standard MAD: 76.52. Five dimensions: Factuality / Source / Reasoning / Clarity / Ethics.
Bertalanic2026,"The Cost of Consensus: Isolated Self-Correction Prevails Over Unguided Homogeneous Multi-Agent Debate","Blaz Bertalanic, Carolina Fortuna",arXiv,2026,https://arxiv.org/abs/2605.00914,Self-correction beats homogeneous MAD at 2-3x fewer tokens; sycophantic conformity up to 85.5%.,accuracy,NR,NR,GSM-Hard / MMLU-Hard,Qwen2.5-7B / LLaMA-3.1-8B / Ministral-3-8B,debate,yes,yes,Oracle gap up to 32.3pp. 10 homogeneous agents. Three failure modes identified.
Choi2025,"Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?","Researchers (NeurIPS 2025 Spotlight)",NeurIPS 2025,2025,https://arxiv.org/abs/2508.17536,Proves debate forms martingale over beliefs; majority voting accounts for most MAD gains; 7 NLP benchmarks.,accuracy,NR,NR,7 NLP benchmarks,NR,debate,yes,yes,Bayesian belief update framework. Targeted bias toward correction can enhance debate. Spotlight paper.
Ki2025,"Multiple LLM Agents Debate for Equitable Cultural Alignment","Dayeon Ki, Rachel Rudinger, Tianyi Zhou, Marine Carpuat",ACL 2025 (Oral),2025,https://arxiv.org/abs/2505.24671,Multi-agent debate enables 7-9B models to match 27B performance on cultural norms; debate-only reaches 76.3%.,accuracy,76.3,70.7,NormAd-ETI,7 open-weight 7-9B LLMs (LLaMA-3 / Gemma-2 / Yi-1.5 etc.),debate,yes,no,Best SA (Yi-1.5): 70.7%. Oracle: 81.9%. Improves cultural group parity. 75 countries.
Zhang2025b,"Debate4MATH: Multi-Agent Debate for Fine-Grained Reasoning in Math","Shaowei Zhang, Deyi Xiong",ACL 2025 Findings,2025,https://aclanthology.org/2025.findings-acl.862/,FMAD framework produces 46K step-level labels; MRM reward model; MMATH-LLM achieves 83.4% on GSM8K.,accuracy,83.4,NR,GSM8K,NR,debate,yes,unclear,Focus on step-level debate for reward modeling. MMATH-Data dataset of 46K reasoning steps.
